"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
880,1646,TS61,61,94,POST_DEPENDENT,"27",1,value1/nodetodetailcount1 * value2,avg_by_leafcount_mby_y,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
881,1647,TS62,62,102,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
882,1648,TS63,63,110,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
883,1649,TS64,64,118,POST_DEPENDENT,"27",0,value1 * value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
884,1650,TS65,65,126,POST_DEPENDENT,"27",0,value1 * 0.15,xmultipliedconstant,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
885,1651,TS66,66,279,POST_DEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
886,1652,TS67,67,396,POST_DEPENDENT,"63",1,"Scenario(A,value1)",,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
887,1653,TS68,68,421,POST_DEPENDENT,"27",0,value1 - (value2 * value3),xminusymultiz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
888,1654,TS69,69,569,POST_DEPENDENT,"27",0,"Scenario(A,value1)",,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
889,1655,TS70,70,451,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
890,1656,TS71,71,461,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
891,1657,TS72,72,469,POST_DEPENDENT,"27",1,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
892,1658,TS73,73,477,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
893,1659,TS74,74,485,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
894,1660,TS75,75,493,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
895,1661,TS76,76,11,POST_INDEPENDENT,"63",1,/* case when (ePeriodId1 = iPeriodId) and ((value5+value6+value7+value8) <> 0) then */      ((value1+value2+value3+value4) / (value5+value6+value7+value8)) /* when (ePeriodId1 > iPeriodId) then */      value9 /* else */      0 /* end */,curr_period_vs_roll_period_3,0,PRODUCT~~CUSTOMER~~ALL~~ALL,,,0,0,0,0,,,1,125
896,1662,TS77,77,56,POST_DEPENDENT,"27",0,/* case when (value3 - value1 - value2) < value4 then */ value4 /*else*/ (value3 - value1 - value2) /* end */,ifcasev2,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
897,1663,TS78,78,19,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
